Day,Month,Year,Region,Zone,Sales,Calender_Year
9,7,2015-16,Hyderabad,Mirpur Khas,11.76,2015
16,7,2015-16,Hyderabad,Badin,11.76,2015
31,7,2015-16,Sukkur,Nawab Shah,11.76,2015
25,7,2015-16,Multan,Bahawalpur,23.52,2015
30,7,2015-16,Hyderabad,Badin,23.52,2015
31,7,2015-16,Karachi,Karachi North,23.52,2015
13,7,2015-16,Hyderabad,Badin,35.28,2015
16,7,2015-16,Hyderabad,Shahdadpur,35.28,2015
29,7,2015-16,Hyderabad,Badin,35.28,2015
31,7,2015-16,Hyderabad,Badin,35.28,2015
15,7,2015-16,Sukkur,Sukkur,47.04,2015
23,7,2015-16,Hyderabad,Shahdadpur,47.04,2015
29,7,2015-16,Hyderabad,Badin,47.04,2015
30,7,2015-16,Sukkur,Jacobabad,47.04,2015
30,7,2015-16,Sukkur,Jacobabad,47.04,2015
30,7,2015-16,Hyderabad,Mirpur Khas,47.04,2015
31,7,2015-16,Hyderabad,Hyderabad,47.04,2015
16,7,2015-16,Hyderabad,Hyderabad,58.8,2015
16,7,2015-16,Hyderabad,Hyderabad,58.8,2015
10,7,2015-16,Hyderabad,Hyderabad,58.8,2015
13,7,2015-16,Hyderabad,Hyderabad,58.8,2015
13,7,2015-16,Hyderabad,Mirpur Khas,58.8,2015
13,7,2015-16,Hyderabad,Mirpur Khas,58.8,2015
15,7,2015-16,Hyderabad,Shahdadpur,58.8,2015
16,7,2015-16,Hyderabad,Hyderabad,58.8,2015
28,7,2015-16,Sukkur,Jacobabad,58.8,2015
30,7,2015-16,Sukkur,Jacobabad,58.8,2015
30,7,2015-16,Sukkur,Larkana,58.8,2015
31,7,2015-16,Sukkur,Nawab Shah,58.8,2015
31,7,2015-16,Hyderabad,Hyderabad,58.8,2015
31,7,2015-16,Sukkur,Sukkur,58.8,2015
23,7,2015-16,Sukkur,Jacobabad,70.56,2015
31,7,2015-16,Sukkur,Sukkur,70.56,2015
7,7,2015-16,Hyderabad,Shahdadpur,82.32,2015
16,7,2015-16,Hyderabad,Shahdadpur,82.32,2015
22,7,2015-16,Sukkur,Jacobabad,82.32,2015
23,7,2015-16,Sukkur,Jacobabad,82.32,2015
24,7,2015-16,Sukkur,Larkana,82.32,2015
24,7,2015-16,Sukkur,Larkana,94.08,2015
25,7,2015-16,Hyderabad,Badin,94.08,2015
29,7,2015-16,Sukkur,Larkana,94.08,2015
31,7,2015-16,Hyderabad,Badin,94.08,2015
31,7,2015-16,Sukkur,Nawab Shah,94.08,2015
15,7,2015-16,Hyderabad,Badin,105.84,2015
24,7,2015-16,Hyderabad,Mirpur Khas,105.84,2015
16,7,2015-16,Sukkur,Sukkur,117.6,2015
7,7,2015-16,Hyderabad,Hyderabad,117.6,2015
7,7,2015-16,Hyderabad,Hyderabad,117.6,2015
10,7,2015-16,Hyderabad,Hyderabad,117.6,2015
10,7,2015-16,Hyderabad,Hyderabad,117.6,2015
14,7,2015-16,Hyderabad,Badin,117.6,2015
15,7,2015-16,Hyderabad,Badin,117.6,2015
16,7,2015-16,Hyderabad,Shahdadpur,117.6,2015
16,7,2015-16,Hyderabad,Mirpur Khas,117.6,2015
16,7,2015-16,Hyderabad,Hyderabad,117.6,2015
16,7,2015-16,Hyderabad,Hyderabad,117.6,2015
22,7,2015-16,Hyderabad,Hyderabad,117.6,2015
22,7,2015-16,Hyderabad,Hyderabad,117.6,2015
23,7,2015-16,Hyderabad,Shahdadpur,117.6,2015
23,7,2015-16,Sukkur,Sukkur,117.6,2015
24,7,2015-16,Sukkur,Jacobabad,117.6,2015
24,7,2015-16,Sukkur,Nawab Shah,117.6,2015
24,7,2015-16,Sukkur,Larkana,117.6,2015
29,7,2015-16,Hyderabad,Badin,117.6,2015
29,7,2015-16,Sukkur,Sukkur,117.6,2015
29,7,2015-16,Hyderabad,Badin,117.6,2015
30,7,2015-16,Hyderabad,Hyderabad,117.6,2015
30,7,2015-16,Sukkur,Nawab Shah,117.6,2015
30,7,2015-16,Hyderabad,Mirpur Khas,117.6,2015
30,7,2015-16,Hyderabad,Mirpur Khas,117.6,2015
31,7,2015-16,Hyderabad,Shahdadpur,117.6,2015
31,7,2015-16,Hyderabad,Hyderabad,117.6,2015
31,7,2015-16,Sukkur,Jacobabad,117.6,2015
31,7,2015-16,Sukkur,Sukkur,117.6,2015
31,7,2015-16,Karachi,Karachi West,117.6,2015
24,7,2015-16,Hyderabad,Mirpur Khas,129.36,2015
31,7,2015-16,Sukkur,Nawab Shah,129.36,2015
13,7,2015-16,Hyderabad,Badin,141.12,2015
15,7,2015-16,Hyderabad,Badin,141.12,2015
16,7,2015-16,Hyderabad,Shahdadpur,141.12,2015
23,7,2015-16,Hyderabad,Shahdadpur,141.12,2015
29,7,2015-16,Hyderabad,Badin,141.12,2015
29,7,2015-16,Hyderabad,Badin,141.12,2015
31,7,2015-16,Hyderabad,Badin,141.12,2015
22,7,2015-16,Hyderabad,Hyderabad,164.64,2015
29,7,2015-16,Sukkur,Sukkur,164.64,2015
9,7,2015-16,Hyderabad,Shahdadpur,176.4,2015
10,7,2015-16,Hyderabad,Shahdadpur,176.4,2015
13,7,2015-16,Hyderabad,Mirpur Khas,176.4,2015
16,7,2015-16,Hyderabad,Shahdadpur,176.4,2015
16,7,2015-16,Hyderabad,Shahdadpur,176.4,2015
16,7,2015-16,Hyderabad,Shahdadpur,176.4,2015
16,7,2015-16,Hyderabad,Badin,176.4,2015
16,7,2015-16,Hyderabad,Badin,176.4,2015
22,7,2015-16,Sukkur,Sukkur,176.4,2015
22,7,2015-16,Sukkur,Larkana,176.4,2015
25,7,2015-16,Sukkur,Jacobabad,176.4,2015
29,7,2015-16,Sukkur,Sukkur,176.4,2015
30,7,2015-16,Hyderabad,Badin,176.4,2015
30,7,2015-16,Hyderabad,Hyderabad,176.4,2015
31,7,2015-16,Hyderabad,Mirpur Khas,176.4,2015
9,7,2015-16,Hyderabad,Hyderabad,199.92,2015
14,7,2015-16,Hyderabad,Badin,199.92,2015
22,7,2015-16,Sukkur,Larkana,199.92,2015
25,7,2015-16,Sukkur,Sukkur,199.92,2015
31,7,2015-16,Hyderabad,Shahdadpur,199.92,2015
31,7,2015-16,Hyderabad,Badin,199.92,2015
31,7,2015-16,Hyderabad,Badin,199.92,2015
31,7,2015-16,Sukkur,Nawab Shah,223.44,2015
7,7,2015-16,Hyderabad,Hyderabad,235.2,2015
8,7,2015-16,Hyderabad,Hyderabad,235.2,2015
15,7,2015-16,Hyderabad,Badin,235.2,2015
16,7,2015-16,Hyderabad,Badin,235.2,2015
22,7,2015-16,Hyderabad,Hyderabad,235.2,2015
22,7,2015-16,Sukkur,Sukkur,235.2,2015
22,7,2015-16,Sukkur,Jacobabad,235.2,2015
22,7,2015-16,Sukkur,Sukkur,235.2,2015
22,7,2015-16,Sukkur,Larkana,235.2,2015
23,7,2015-16,Sukkur,Nawab Shah,235.2,2015
24,7,2015-16,Hyderabad,Shahdadpur,235.2,2015
25,7,2015-16,Sukkur,Jacobabad,235.2,2015
28,7,2015-16,Sukkur,Jacobabad,235.2,2015
29,7,2015-16,Sukkur,Jacobabad,235.2,2015
29,7,2015-16,Hyderabad,Badin,235.2,2015
30,7,2015-16,Hyderabad,Badin,235.2,2015
30,7,2015-16,Hyderabad,Badin,235.2,2015
30,7,2015-16,Hyderabad,Hyderabad,235.2,2015
